Cost_of_company,Number_of_stocks,Cost_of_1_stock,Stocks_owned
10160,246,41.3008,4
10036.1,249,40.3056,1
10277.9,243,42.296,7
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
10108.7,247,40.9261,3
